,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
천연가스(-11~-15),0.02217118252051836,0.016876803644355707,0.01886453,0.04002661034285715,0.017879537370381227,0.0381633235,0.01785542782233879,80.5343955191134,-1.049674407004863,9.30286796996881e-12
니켈(-1~-5),0.012324820136069113,0.0072337272870177305,0.010622245,0.03239428155714286,0.0514757970523422,0.021432199,0.020069461421073742,162.83776314381745,-1.0164572884145209,0.0017429456139536332
원달러환율수익률표준편차(-1~-5),0.004709139570355242,0.0021618413024092832,0.0043695185156494,0.0069905351503734324,0.0030682889104306707,0.0063361556993076495,0.00228139558001819,48.44612366938381,-0.9919487147346281,5.523234245211347e-08
천연가스(-16~-20),0.02147481230885529,0.014563805304463497,0.018310502,0.03570119268571429,0.017831404084619095,0.033489307999999995,0.014226380376859,66.24682056472572,-0.9466189650211968,1.0157396483816407e-08
니켈(-11~-15),0.013851090421166305,0.00804648815471274,0.012177933,0.028273708228571427,0.03767721592459584,0.0232041205,0.014422617807405122,104.126226664187,-0.9294342210799723,0.002119304660405566
미국_대두박(-6~-10),0.010599269881209503,0.005454710186631793,0.009487069,0.016172005414285713,0.00931188098408317,0.0143122055,0.0055727355330762104,52.5765981575355,-0.9142380162549473,5.632701868692907e-06
천연가스(-6~-10),0.025454671149028076,0.01811366629566861,0.020532074,0.04217409850000001,0.02061442277729473,0.035757824,0.01671942735097193,65.68314024991959,-0.905819752300067,7.1758064934933175e-09
아연(-1~-5),0.010565007481641468,0.005844523902931173,0.009502487,0.015766307614285713,0.00653875135557199,0.014561899,0.005201300132644245,49.23139090703349,-0.8757395449347768,1.2766472761288899e-08
니켈(-6~-10),0.014492998477321816,0.00851351875354146,0.012843317,0.02657059822857143,0.03157473168310361,0.020201075,0.012077599751249614,83.334030360579,-0.8702428937914332,0.002170151425878447
코스닥수익률표준편차(-6~-10),0.010926462520518359,0.006028703422493872,0.009723641,0.016322308114285717,0.007570556769661686,0.0158192675,0.005395845593767358,49.383280120484734,-0.8632532138837433,1.819075677296956e-07
가솔린(-6~-10),0.01684017158963283,0.009304819333948815,0.014381902,0.026032584885714288,0.017139439437334387,0.0220657,0.009192413296081458,54.58622109136052,-0.8628371477288557,3.639308879845005e-05
코스닥수익률표준편차(-16~-20),0.011145313563714903,0.006308520517990287,0.009742264,0.016576443328571427,0.007704456541668419,0.015078487,0.005431129764856523,48.73016567733286,-0.8346769533172674,2.456795508517533e-07
구리_미국(-6~-10),0.01036232961339093,0.005174711236568515,0.009039389,0.014979685185714284,0.007622046857510461,0.013042052,0.004617355572323354,44.55904940870133,-0.8313529282083202,5.003614087674792e-06
