"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2021.04",105.8,10.8,101.5,109.1,16712.1,98.6,3096.7,1.01,103.4,107.5,103.4,10936.5,103.7,101.8,41830.5,25629.1,102.7,96.6,1.5,7994.8,27090.8,1.0
"2021.05",106.5,14.0,104.5,110.1,16362.7,99.2,3122.3,1.11,103.8,106.4,104.5,10793.7,104.7,101.1,42393.9,25728.3,103.1,96.1,1.7,8170.1,27177.8,1.0
"2021.06",107.2,16.2,107.3,111.5,16055.0,99.2,3197.8,1.15,104.0,106.1,105.1,10681.1,105.4,100.8,42182.8,25790.0,103.4,95.7,1.8,8170.4,27232.4,1.0
"2021.07",107.3,15.0,106.9,110.5,14707.6,98.4,3227.6,1.17,104.2,106.9,105.2,10578.3,105.9,100.5,42177.0,25839.6,103.8,96.1,1.9,8144.0,27289.2,1.0
"2021.08",107.4,9.0,106.8,109.5,16292.1,97.9,3232.1,1.15,104.4,108.1,104.9,10591.5,106.5,100.3,41817.7,25884.1,104.1,98.0,1.9,7959.6,27342.1,1.0
"2021.09",107.3,3.0,105.2,106.8,16186.5,97.6,3192.9,1.09,104.7,108.8,105.0,10613.6,107.5,99.4,41698.3,25944.2,104.5,100.7,2.0,7922.5,27397.5,1.0
"2021.10",107.1,-3.1,105.9,104.1,16070.4,96.3,3104.7,1.17,105.1,108.9,105.8,10632.6,108.1,98.9,41977.7,25992.9,105.1,103.2,2.5,7894.1,27449.3,1.1
"2021.11",107.1,-7.3,106.4,102.6,14505.9,95.1,3032.0,1.27,105.7,109.3,107.3,10594.3,108.0,99.4,42381.0,26059.3,105.7,104.5,2.6,8127.4,27507.6,1.2
"2021.12",107.3,-8.2,106.4,103.5,14479.1,94.4,2980.9,1.25,106.5,111.5,108.2,10767.7,107.7,101.0,43141.4,26105.0,106.3,106.4,2.8,8333.8,27571.6,1.4
"2022.01",107.6,-7.1,106.4,107.6,14993.2,93.7,2939.5,1.15,107.3,113.4,109.0,10951.9,106.9,102.0,44050.9,26158.1,106.7,106.6,2.6,8642.7,27647.4,1.5
"2022.02",107.7,-7.0,106.1,107.3,15507.5,92.3,2859.4,1.11,107.6,114.5,108.5,10955.1,106.3,101.8,44407.5,26276.5,107.2,107.0,2.8,8805.1,27798.6,1.6
"2022.03",107.8,-6.8,105.8,107.7,16254.9,90.2,2762.8,1.24,107.7,114.5,108.8,10688.5,105.7,101.1,44533.6,26372.8,107.6,105.7,2.9,8867.5,27900.8,1.6
"2022.04",108.0,-8.3,105.9,103.5,16640.9,89.7,2708.6,1.49,107.6,113.9,109.8,10479.9,105.5,99.6,43729.9,26484.2,108.0,105.8,3.0,8884.7,28004.4,1.7
"2022.05",108.5,-8.2,106.2,105.4,16832.4,89.7,2676.7,1.64,108.0,113.0,111.6,10750.2,105.9,99.0,43283.2,26518.5,108.4,105.3,3.2,8989.4,28047.5,1.8
"2022.06",108.8,-11.6,105.9,105.9,17314.1,90.3,2602.2,1.82,108.3,112.2,113.2,10865.1,105.3,98.6,43484.5,26565.2,109.0,107.7,3.5,8955.9,28102.0,2.0
"2022.07",108.9,-13.5,103.2,108.7,17237.6,90.2,2488.7,1.65,108.8,111.6,113.9,10911.2,105.0,99.5,44395.8,26596.4,109.7,110.2,3.8,9112.9,28144.6,2.3
"2022.08",109.1,-13.6,100.6,112.3,18492.1,90.2,2439.1,1.43,109.4,110.3,114.7,10861.7,106.1,100.5,46003.9,26615.4,110.4,112.2,4.1,9382.5,28156.6,2.6
"2022.09",109.3,-9.4,99.0,113.2,18427.6,90.0,2392.1,1.26,109.7,108.4,115.3,10948.6,106.7,100.3,46891.5,26632.5,110.9,111.6,4.2,9675.1,28169.6,2.9
"2022.10",109.6,-6.1,98.1,115.3,16132.7,89.7,2347.9,1.26,109.8,106.0,115.6,11293.4,107.4,99.3,47141.3,26645.2,111.3,110.8,4.2,9661.2,28171.6,3.4
"2022.11",109.5,-7.9,95.4,114.2,13470.3,89.5,2327.3,1.20,109.6,105.0,115.7,11477.8,105.9,98.6,46524.8,26659.6,111.8,111.9,4.1,9383.7,28173.3,4.2
"2022.12",109.3,-10.5,93.2,114.6,11502.7,89.7,2336.4,0.84,109.1,102.7,115.7,11585.0,105.2,97.7,45185.9,26684.1,112.3,113.2,4.1,9164.8,28181.1,4.9
"2023.01",109.2,-14.9,91.6,109.7,14425.9,89.6,2380.4,0.45,108.8,102.2,115.7,11491.2,103.2,97.4,44742.6,26690.5,112.7,115.2,4.0,9133.4,28177.8,5.2
"2023.02",109.2,-14.8,91.5,106.2,14423.2,89.1,2391.3,0.18,109.2,101.3,116.2,11822.2,104.2,97.0,45101.0,26736.9,112.9,116.1,3.9,9099.9,28224.8,4.9
"2023.03",109.2,-14.6,91.5,103.2,13751.4,88.9,2410.1,0.07,109.9,103.3,116.5,11975.7,104.5,97.4,45288.9,26794.7,113.0,116.5,3.8,9166.0,28305.4,4.4
"2023.04",109.4,-14.8,92.7,102.5,10402.6,88.8,2463.7,-0.05,110.4,104.0,117.2,12119.8,105.5,97.1,45166.9,26855.7,113.3,118.5,3.8,9082.2,28380.6,4.1
"2023.05",109.8,-15.5,93.8,102.9,10719.0,89.6,2488.4,-0.15,110.7,106.2,117.3,11889.1,104.7,97.5,45629.7,26894.1,113.5,120.3,3.8,8902.6,28432.3,4.0
"2023.06",110.5,-11.5,95.3,102.9,11641.2,90.2,2548.9,-0.16,110.9,106.2,117.6,11924.6,104.9,97.6,45476.3,26909.5,113.7,120.5,3.5,9051.1,28440.3,4.0
"2023.07",111.1,-7.7,95.4,102.9,11891.8,90.8,2572.6,-0.04,110.8,106.0,118.1,11911.1,104.5,97.8,44114.0,26914.1,113.7,118.7,3.2,8875.7,28437.6,4.0
"2023.08",111.5,-5.8,95.3,101.5,10626.6,90.9,2585.1,0.12,110.9,106.1,118.7,11995.6,104.2,97.4,43769.3,26910.9,113.7,117.9,3.0,8809.6,28424.5,4.0
"2023.09",111.8,-7.2,94.3,102.4,10906.4,90.5,2566.8,0.22,111.0,107.7,119.2,12150.6,103.5,97.2,42603.3,26915.9,113.9,118.5,2.9,8508.0,28430.6,4.0
"2023.10",112.3,-6.1,93.5,105.3,11790.1,90.1,2499.3,0.38,111.3,109.2,119.4,12195.8,103.9,97.4,41856.9,26951.6,114.2,118.5,2.8,8689.5,28475.4,4.1
"2023.11",112.8,-1.6,92.5,107.8,11935.4,89.9,2465.0,0.39,111.6,110.0,119.4,12107.7,104.0,98.0,42241.1,26960.7,114.5,117.2,2.9,8772.7,28481.5,4.2
