"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 04- 27","287.34","285.80","287.76","285.52","83.54M","0.20%"
"2017- 04- 28","287.21","288.51","289.02","286.76","78.76M","-0.05%"
"2017- 05- 02","289.65","288.60","291.12","288.39","69.81M","0.85%"
"2017- 05- 04","292.47","290.53","292.47","290.53","65.04M","0.97%"
"2017- 05- 08","299.86","292.95","299.86","292.66","102.04M","2.53%"
"2017- 05- 10","296.19","299.81","304.26","295.53","128.10M","-1.22%"
"2017- 05- 11","299.75","297.25","300.22","296.35","111.19M","1.20%"
"2017- 05- 12","298.25","299.78","300.10","297.84","74.39M","-0.50%"
"2017- 05- 15","298.87","298.54","299.84","297.51","58.67M","0.21%"
"2017- 05- 16","299.67","301.25","301.65","298.05","97.29M","0.27%"
"2017- 05- 17","299.34","299.02","299.95","297.90","77.84M","-0.11%"
"2017- 05- 18","298.47","296.34","298.78","295.66","83.32M","-0.29%"
"2017- 05- 19","298.08","298.26","299.10","297.44","74.78M","-0.13%"
"2017- 05- 22","300.63","299.76","300.70","298.98","71.07M","0.86%"
"2017- 05- 23","301.36","301.44","303.70","300.41","76.65M","0.24%"
"2017- 05- 24","301.71","302.32","302.79","301.23","111.99M","0.12%"
"2017- 05- 25","305.22","302.83","305.34","302.18","100.09M","1.16%"
"2017- 05- 26","306.96","305.41","308.51","305.07","98.10M","0.57%"
"2017- 05- 29","306.52","307.98","309.32","305.13","105.98M","-0.14%"
"2017- 05- 30","304.59","306.89","306.99","303.11","94.12M","-0.63%"
"2017- 05- 31","304.67","303.79","306.18","303.64","114.68M","0.03%"
"2017- 06- 01","304.03","304.74","305.30","302.99","77.25M","-0.21%"
"2017- 06- 02","307.83","305.34","308.01","305.27","94.03M","1.25%"
"2017- 06- 05","307.33","308.52","308.59","306.79","76.12M","-0.16%"
"2017- 06- 07","305.68","306.94","307.59","305.42","87.99M","-0.54%"
"2017- 06- 08","306.25","305.70","306.87","304.17","126.08M","0.19%"
"2017- 06- 09","309.38","307.51","310.02","307.17","118.71M","1.02%"
"2017- 06- 12","306.24","307.74","308.31","305.59","95.85M","-1.01%"
"2017- 06- 13","308.02","306.25","308.29","306.25","94.39M","0.58%"
"2017- 06- 14","307.95","309.53","310.05","307.03","113.45M","-0.02%"
"2017- 06- 15","306.69","308.02","308.83","305.04","95.41M","-0.41%"
"2017- 06- 16","306.79","306.97","307.40","305.82","87.84M","0.03%"
"2017- 06- 19","308.61","307.14","309.29","306.19","87.80M","0.59%"
"2017- 06- 20","309.31","310.55","310.63","308.72","122.39M","0.23%"
"2017- 06- 21","307.52","307.61","308.00","306.13","100.93M","-0.58%"
"2017- 06- 22","309.47","308.60","309.47","307.28","88.48M","0.63%"
"2017- 06- 23","310.26","309.36","310.58","308.96","81.46M","0.26%"
"2017- 06- 26","311.89","310.53","312.22","310.13","71.90M","0.53%"
"2017- 06- 27","312.12","311.72","312.95","311.05","131.75M","0.07%"
"2017- 06- 28","310.84","310.71","312.03","310.47","94.92M","-0.41%"
