,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
187,세화아이엠씨,0.030103106,0.041799821,0.004744154,0.0149429919999999,145210
188,센코,0.145397895,0.149802413,0.075739666,0.083471864,347000
189,센트랄모텍,0.273514597,0.095474358,0.096941699,0.057137842,308170
190,셀레믹스,0.187560915,0.057371744,0.0291368839999999,0.027969322,331920
191,셀리드,0.260793842,0.035870698,0.030314386,0.093859006,299660
192,셀리버리,0.096198753,0.021131067,0.059342329,0.04734255,268600
193,셀트리온헬스케어,0.099864218,0.017510083,0.027601902,0.0066509399999999,91990
194,소룩스,0.733839085,0.12016212,0.013728547,0.02314865,290690
195,솔루엠,0.335462616,0.0605378969999999,0.011963403,0.045900468,248070
196,솔트룩스,0.19506047,0.02170675,0.068129157,0.047723233,304100
197,수산아이앤티,0.201308241,0.057060126,0.032313109,0.044593688,50960
198,수산인더스트리,0.040939871,0.031395621,0.034744064,0.041102883,126720
199,슈프리마아이디,0.149596798,0.021265512,0.080742975,0.040546023,317770
200,스코넥,0.39629208,0.10554517,0.0563320339999999,0.029274357,276040
201,스톤브릿지벤처스,0.151597962,0.101501739,0.013833582,0.037298365,330730
202,스튜디오드래곤,0.483851876,0.021389717,0.033946178,0.047254979,253450
203,스튜디오미르,0.72009184,0.034685155,0.062232291,0.03657763,408900
204,시스웍,0.183885908,0.0063273219999999,0.034540599,0.032870701,269620
205,신도기연,0.193313282,0.073216344,0.0149538289999999,0.012816708,290520
206,신라젠,0.07546584,0.071140249,0.027127329,0.021572946,215600
207,신신제약,0.367516193,0.035179639,0.089020318,0.143706186,2800
208,신테카바이오,0.201207537,0.059135336,0.068102606,0.049939844,226330
209,신흥에스이씨,0.137869025,0.024406085,0.044067868,0.038147503,243840
210,실리콘투,0.068174724,0.037135522,0.048584432,0.027205202,257720
211,싸이맥스,0.059774267,0.048930103,0.045387972,0.051969145,160980
212,싸이버원,0.566338174,0.078959781,0.04807543,0.018935496,356890
213,싸이토젠,0.059195211,0.026174071,0.03722616,0.040493172,217330
214,쏘카,0.032736952,0.033122757,0.0390873,0.02369004,403550
215,씨앤씨인터내셔널,0.056444991,0.058986549,0.063036838,0.033930709,352480
216,씨앤지하이테크,0.083818059,0.021655669,0.024043357,0.036712777,264660
217,씨앤투스성진,0.056242128,0.040724108,0.033583225,0.025863004,352700
218,씨에스베어링,0.068457563,0.036456851,0.0149439949999999,0.013359154,297090
219,씨엠에스에듀,0.053488709,0.021558223,0.005138871,0.02386577,225330
220,씨유박스,0.158640458,0.030525842,0.034416813,0.0290975429999999,340810
221,씨유테크,0.186838179,0.03065637,0.0151788339999999,0.00947407,376290
222,씨트리,0.4051943639999999,0.039241343,0.070208283,0.035818892,47920
223,씨티케이코스메틱스,0.117885885,0.024008478,0.034891876,0.035198338,260930
224,아모그린텍,0.092069794,0.039085931,0.013100267,0.032593174,125210
225,아모센스,0.169551402,0.022679109,0.021960009,0.060451237,357580
226,아셈스,0.318853862,0.086292219,0.17840854,0.024599228,136410
227,아스타,0.280710584,0.025852988,0.034694337,0.123457308,246720
228,아스플로,0.083983778,0.047915624,0.024628987,0.0128921289999999,159010
229,아시아경제,0.073173615,0.159367679,0.076170578,0.032426964,127710
230,아시아나IDT,0.074117791,0.040874038,0.034510795,0.03594308,267850
231,아우딘퓨쳐스,0.044620713,0.0740737,0.014479814,0.037736256,227610
232,아이디피,0.138963851,0.01936032,0.013999393,0.012424975,332370
233,아이스크림에듀,0.124707967,0.050634889,0.054234187,0.041321121,289010
234,아이쓰리시스템,0.301545325,0.026721022,0.03676089,0.08304795,214430
235,아이씨에이치,0.087533394,0.018824001,0.0293259779999999,0.014829127,368600
236,아이엠텍,0.315714749,0.057415695,0.093583081,0.04848739,226350
237,아이콘트롤스,0.026978288,0.019042899,0.033385221,0.010273996,39570
238,아이퀘스트,0.363214293,0.013624537,0.030374529,0.036898469,262840
239,아이큐어,0.036908427,0.1066094649999999,0.082479555,0.021561192,175250
240,아이티아이즈,0.2072067249999999,0.153013029,0.056517767,0.039528698,372800
241,아이티엠반도체,0.141403296,0.045157912,0.050628925,0.018320262,84850
242,아이패밀리에스씨,0.044890456,0.047151331,0.029589779,0.01622914,114840
243,아주스틸,0.556741895,0.01875332,0.033681701,0.026634996,139990
244,아진산업,0.025243554,0.027493945,0.021042148,0.048929061,13310
245,아톤,0.045188417,0.027284703,0.039626973,0.047109903,158430
246,안트로젠,0.303444929,0.022697797,0.150287368,0.027501364,65660
247,알리코제약,0.449631212,0.065565105,0.043613301,0.019653549,260660
248,알비더블유,0.37581656,0.07386598,0.037391536,0.00704961,361570
249,알에스오토메이션,0.716054057,0.031612134,0.059346129,0.0260139389999999,140670
250,알체라,0.669048614,0.025850783,0.045130887,0.043274219,347860
251,알피바이오,0.204328138,0.064879635,0.051618892,0.037432539,314140
252,압타머사이언스,0.081767812,0.023141564,0.029583391,0.011960644,291650
253,압타바이오,0.157437394,0.026571507,0.065262646,0.029817663,293780
254,애경산업,0.090681459,0.057237156,0.039608863,0.026314768,18250
255,애니젠,0.216781937,0.034083544,0.032495153,0.030863117,196300
