변환,주식시장,잠정치
"2018/03/07","-2,574","-2,252"
"2018/03/08","-1,755","1,306"
"2018/03/09","1,960","779"
"2018/03/12","1,936","975"
"2018/03/13","5,923","6"
"2018/03/14","-1,273","-369"
"2018/03/15","-399","247"
"2018/03/16","1,665","1,096"
"2018/03/19","-845","-595"
"2018/03/20","-1,231","758"
"2018/03/21","-682","-533"
"2018/03/22","2,118","-84"
"2018/03/23","-1,332","-321"
"2018/03/26","-1,018","1,883"
"2018/03/27","94","-1,781"
"2018/03/28","-2,515","-815"
"2018/03/29","-2,700","-169"
"2018/03/30","-1,684","75"
"2018/04/02","-256","-385"
"2018/04/03","-1,049","824"
"2018/04/04","-1,970","-895"
"2018/04/05","1,453","-13"
"2018/04/06","-2,365","-242"
"2018/04/09","-551","18"
"2018/04/10","-1,184","-152"
"2018/04/11","4,645","502"
"2018/04/12","2,323","-411"
"2018/04/13","529","873"
"2018/04/16","-372","453"
"2018/04/17","-2,766","91"
"2018/04/18","3,510","-1,032"
"2018/04/19","1,816","403"
"2018/04/20","-4,911","74"
"2018/04/23","-2,933","-1,240"
"2018/04/24","-4,390","-626"
"2018/04/25","-7,657","-926"
"2018/04/26","1,722","-384"
"2018/04/27","1,599","202"
"2018/04/30","2,431","108"
"2018/05/02","-1,668","1,499"
"2018/05/03","-3,233","-422"
"2018/05/04","-226","-155"
"2018/05/08","-323","-227"
"2018/05/09","-2,285","863"
"2018/05/10","-401","-960"
"2018/05/11","1,996","-108"
"2018/05/14","-955","-477"
"2018/05/15","-2,402","-350"
"2018/05/16","111","-786"
"2018/05/17","-2,708","729"
"2018/05/18","-385","1,077"
"2018/05/21","-762","-494"
"2018/05/23","2,755","-325"
"2018/05/24","331","1,174"
"2018/05/25","3,340","861"
"2018/05/28","-1,611","994"
"2018/05/29","-2,284","-216"
"2018/05/30","-6,905","344"
"2018/05/31","9,500","2,324"
"2018/06/01","2,408","557"
"2018/06/04","161","-496"
"2018/06/05","-89","-5"
"2018/06/07","1,400","1,359"
"2018/06/08","1,294","-736"
"2018/06/11","-108","64"
"2018/06/12","-1,260","373"
"2018/06/14","-4,766","16"
"2018/06/15","-5,493","468"
"2018/06/18","-3,195","-233"
"2018/06/19","-2,154","444"
"2018/06/20","1,144","1,553"
"2018/06/21","-1,294","-945"
"2018/06/22","57","-152"
"2018/06/25","-1,112","160"
"2018/06/26","-3,228","-548"
"2018/06/27","1,580","326"
"2018/06/28","-2,881","166"
"2018/06/29","1,666","648"
"2018/07/02","1,155","-392"
"2018/07/03","2,013","1,617"
"2018/07/04","1","-174"
"2018/07/05","-953","338"
"2018/07/06","-3,811","-656"
"2018/07/09","-592","-492"
"2018/07/10","317","360"
"2018/07/11","2,016","-624"
"2018/07/12","-178","667"
"2018/07/13","2,248","148"
"2018/07/16","-457","-683"
"2018/07/17","-890","-555"
"2018/07/18","914","-145"
"2018/07/19","518","-718"
"2018/07/20","-1,213","-544"
"2018/07/23","-314","-624"
"2018/07/24","634","1,235"
"2018/07/25","-1,496","-529"
"2018/07/26","1,285","591"
"2018/07/27","1,632","-136"
"2018/07/30","1,614","-577"
"2018/07/31","-711","-600"
"2018/08/01","1,714","104"
"2018/08/02","-480","-1,047"
"2018/08/03","1,439","-95"
"2018/08/06","18","-250"
"2018/08/07","578","-130"
"2018/08/08","3,579","-109"
"2018/08/09","-2,239","63"
"2018/08/10","-1,122","-524"
"2018/08/13","-1,740","-580"
"2018/08/14","-88","886"
"2018/08/16","-2,423","382"
"2018/08/17","1,027","695"
"2018/08/20","-555","-527"
"2018/08/21","1,069","1,125"
"2018/08/22","2,082","-425"
"2018/08/23","1,736","411"
"2018/08/24","784","238"
"2018/08/27","2,384","390"
"2018/08/28","1,432","-48"
"2018/08/29","1,150","322"
"2018/08/30","2,215","-43"
"2018/08/31","3,966","1,074"
"2018/09/03","-2,160","-247"
"2018/09/04","220","893"
"2018/09/05","-980","256"
"2018/09/06","-2,924","-68"
"2018/09/07","-7,736","299"
"2018/09/10","1,240","14"
"2018/09/11","-1,889","338"
"2018/09/12","-4,154","690"
"2018/09/13","-2,684","-288"
