일자,거래량_PUT,거래량_CALL,P/C Ratio
2015/09/16,839227,1264089,0.66
2015/09/15,434995,540574,0.8
2015/09/14,686161,633230,1.08
2015/09/11,666605,614917,1.08
2015/09/10,2322554,2246027,1.03
2015/09/09,1980370,2215244,0.89
2015/09/08,1357686,1348659,1.01
2015/09/07,1449351,1460193,0.99
2015/09/04,1748101,1296737,1.35
2015/09/03,1203867,900997,1.34
2015/09/02,1348314,1477199,0.91
2015/09/01,1099672,1117723,0.98
2015/08/31,868220,802951,1.08
2015/08/28,859776,903028,0.95
2015/08/27,1404755,1313320,1.07
2015/08/26,1462676,1618733,0.9
2015/08/25,1576769,1650446,0.96
2015/08/24,1637305,1745891,0.94
2015/08/21,1252738,1260940,0.99
2015/08/20,802215,879723,0.91
2015/08/19,862895,983885,0.88
2015/08/18,586569,691199,0.85
2015/08/17,714268,712860,1.0
2015/08/13,2245970,2208753,1.02
2015/08/12,2280928,2107816,1.08
2015/08/11,1792543,1761007,1.02
2015/08/10,812540,1015481,0.8
2015/08/07,848008,921122,0.92
2015/08/06,1224958,1260968,0.97
2015/08/05,984269,916049,1.07
2015/08/04,799710,777468,1.03
2015/08/03,707228,850965,0.83
2015/07/31,824620,1015887,0.81
2015/07/30,837233,891848,0.94
2015/07/29,614025,638114,0.96
2015/07/28,824098,860501,0.96
2015/07/27,754359,870412,0.87
2015/07/24,723675,852866,0.85
2015/07/23,624016,730119,0.85
2015/07/22,765295,820074,0.93
2015/07/21,856754,855123,1.0
2015/07/20,551384,611625,0.9
2015/07/17,903200,913784,0.99
2015/07/16,724875,712901,1.02
2015/07/15,1134786,908351,1.25
2015/07/14,756119,764187,0.99
2015/07/13,852671,852347,1.0
2015/07/10,684031,708195,0.97
2015/07/09,2471259,2588725,0.95
2015/07/08,2044338,1956846,1.04
2015/07/07,1639160,1855797,0.88
2015/07/06,1968032,2083789,0.94
2015/07/03,1063807,907784,1.17
2015/07/02,975266,779655,1.25
2015/07/01,1545219,1393399,1.11
2015/06/30,933523,822300,1.14
2015/06/29,1194846,987480,1.21
2015/06/26,802738,755345,1.06
2015/06/25,734085,703198,1.04
2015/06/24,584564,539085,1.08
2015/06/23,1229234,1074512,1.14
2015/06/22,653933,825747,0.79
2015/06/19,713952,686519,1.04
2015/06/18,949217,1030912,0.92
2015/06/17,639903,663069,0.97
2015/06/16,1028798,1266184,0.81
2015/06/15,615084,683819,0.9
2015/06/12,1010768,931207,1.09
2015/06/11,1935510,1914410,1.01
2015/06/10,1660442,1687538,0.98
2015/06/09,1597025,1479360,1.08
2015/06/08,1270555,1214047,1.05
2015/06/05,1263640,1269440,1.0
2015/06/04,1893001,1648448,1.15
2015/06/03,1800152,1587533,1.13
2015/06/02,1526064,1629648,0.94
2015/06/01,1309436,1564132,0.84
2015/05/29,1164742,1323066,0.88
2015/05/28,1006029,1024274,0.98
2015/05/27,1329126,1361394,0.98
2015/05/26,757000,870503,0.87
2015/05/22,820102,946936,0.87
2015/05/21,899182,1019787,0.88
2015/05/20,812686,893429,0.91
2015/05/19,735374,771458,0.95
2015/05/18,692893,749687,0.92
2015/05/15,1122722,1138065,0.99
2015/05/14,2110570,1643320,1.28
2015/05/13,1570558,1419639,1.11
2015/05/12,1193595,1336905,0.89
2015/05/11,1269462,1368776,0.93
2015/05/08,845359,912860,0.93
2015/05/07,1648888,1719850,0.96
2015/05/06,1388450,1376886,1.01
2015/05/04,767405,763067,1.01
2015/04/30,924418,1275411,0.72
2015/04/29,1107010,1509723,0.73
2015/04/28,843941,1138962,0.74
2015/04/27,830931,967322,0.86
2015/04/24,1321227,2165096,0.61
2015/04/23,1168670,1710336,0.68
2015/04/22,1349793,1476009,0.91
2015/04/21,635592,788474,0.81
2015/04/20,728925,751632,0.97
2015/04/17,712058,813870,0.87
2015/04/16,923652,1184745,0.78
2015/04/15,677877,808198,0.84
2015/04/14,622464,949017,0.66
2015/04/13,562627,682303,0.82
2015/04/10,908031,987314,0.92
2015/04/09,1661374,1523798,1.09
2015/04/08,1103014,1057319,1.04
2015/04/07,961630,927466,1.04
2015/04/06,977589,1003506,0.97
2015/04/03,753147,755194,1.0
2015/04/02,908551,855297,1.06
2015/04/01,1076940,1095160,0.98
2015/03/31,923848,946359,0.98
2015/03/30,662749,781301,0.85
2015/03/27,799273,989298,0.81
2015/03/26,991293,1106380,0.9
2015/03/25,503016,737094,0.68
2015/03/24,724349,878526,0.82
2015/03/23,845186,1223967,0.69
2015/03/20,615767,699649,0.88
2015/03/19,850265,1106155,0.77
2015/03/18,904794,1161161,0.78
2015/03/17,1346349,1578950,0.85
2015/03/16,416158,418328,0.99
2015/03/13,644968,514134,1.25
2015/03/12,2200007,2065694,1.07
2015/03/11,1642655,1845623,0.89
2015/03/10,1260675,1257030,1.0
2015/03/09,1306373,1084967,1.2
2015/03/06,756276,657484,1.15
2015/03/05,672005,624817,1.08
2015/03/04,487975,473537,1.03
2015/03/03,705068,557564,1.26
2015/03/02,732360,626540,1.17
2015/02/27,657456,696769,0.94
2015/02/26,405491,363841,1.11
2015/02/25,525415,436508,1.2
2015/02/24,489814,401967,1.22
2015/02/23,627077,504697,1.24
2015/02/17,409105,507601,0.81
2015/02/16,381375,322898,1.18
2015/02/13,614724,477674,1.29
2015/02/12,1771276,1811004,0.98
2015/02/11,950654,924418,1.03
2015/02/10,1299580,1145289,1.13
2015/02/09,874040,940610,0.93
2015/02/06,904462,975811,0.93
2015/02/05,1078573,1345335,0.8
2015/02/04,876810,894416,0.98
2015/02/03,988805,1059853,0.93
2015/02/02,783332,923571,0.85
2015/01/30,849616,886761,0.96
2015/01/29,815181,882036,0.92
2015/01/28,779063,689091,1.13
2015/01/27,773195,684900,1.13
2015/01/26,634525,669075,0.95
2015/01/23,752991,877869,0.86
2015/01/22,772267,769470,1.0
2015/01/21,624993,656839,0.95
2015/01/20,606092,626873,0.97
2015/01/19,550909,609033,0.9
2015/01/16,851368,833159,1.02
2015/01/15,604094,680001,0.89
2015/01/14,740912,693386,1.07
2015/01/13,557096,640678,0.87
2015/01/12,520963,629172,0.83
2015/01/09,652966,746577,0.87
2015/01/08,2163527,2112629,1.02
2015/01/07,1439113,1326527,1.08
2015/01/06,1856514,1542038,1.2
2015/01/05,1365320,1710783,0.8
2015/01/02,933850,925689,1.01
