지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
금융,693.22,0.01,0.0,24.56,1.34,0.59,2015-01-26
오락·문화,573.69,6.9,1.19,29.37,3.41,0.72,2015-01-26
음식료·담배,7765.89,51.09,0.66,17.21,1.33,0.84,2015-01-26
섬유·의류,202.54,3.69,1.86,,1.0,0.11,2015-01-26
코스닥,587.84,2.5,0.42,43.77,1.83,0.64,2015-01-27
코스닥 150,960.09,6.58,0.68,,,,2015-01-27
코스닥 150 정보기술,840.82,9.43,1.11,,,,2015-01-27
코스닥 150 헬스케어,2035.75,23.49,1.14,,,,2015-01-27
코스닥 150 커뮤니케이션서비스,1672.82,12.51,0.74,,,,2015-01-27
코스닥 150 소재,724.75,5.24,0.72,,,,2015-01-27
코스닥 150 산업재,412.08,2.34,0.57,,,,2015-01-27
코스닥 150 필수소비재,1257.2,5.41,0.43,,,,2015-01-27
코스닥 150 자유소비재,1263.43,17.91,1.44,,,,2015-01-27
일반서비스,1928.56,12.54,0.65,34.47,2.09,0.83,2015-01-27
제조,1535.25,8.03,0.52,32.47,1.61,0.64,2015-01-27
건설,86.5,1.06,1.24,,1.0,0.82,2015-01-27
유통,445.98,0.65,0.15,130.8,2.11,0.73,2015-01-27
운송·창고,4538.84,178.09,4.08,10.01,0.58,0.71,2015-01-27
금융,708.73,15.51,2.24,25.06,1.37,0.57,2015-01-27
오락·문화,575.11,1.42,0.25,29.45,3.42,0.72,2015-01-27
음식료·담배,7775.86,9.97,0.13,17.23,1.33,0.83,2015-01-27
섬유·의류,202.96,0.42,0.21,,1.0,0.11,2015-01-27
코스닥,594.39,6.55,1.11,44.26,1.85,0.63,2015-01-28
코스닥 150,972.58,12.49,1.3,,,,2015-01-28
코스닥 150 정보기술,853.38,12.56,1.49,,,,2015-01-28
코스닥 150 헬스케어,2060.44,24.69,1.21,,,,2015-01-28
코스닥 150 커뮤니케이션서비스,1682.41,9.59,0.57,,,,2015-01-28
코스닥 150 소재,726.58,1.83,0.25,,,,2015-01-28
코스닥 150 산업재,418.06,5.98,1.45,,,,2015-01-28
코스닥 150 필수소비재,1257.19,0.01,0.0,,,,2015-01-28
코스닥 150 자유소비재,1294.22,30.79,2.44,,,,2015-01-28
일반서비스,1962.57,34.01,1.76,35.08,2.13,0.81,2015-01-28
제조,1545.56,10.31,0.67,32.68,1.62,0.63,2015-01-28
건설,87.47,0.97,1.12,,1.01,0.81,2015-01-28
유통,446.67,0.69,0.15,131.05,2.11,0.73,2015-01-28
운송·창고,4551.13,12.29,0.27,10.04,0.58,0.7,2015-01-28
금융,711.69,2.96,0.42,25.15,1.37,0.57,2015-01-28
오락·문화,595.45,20.34,3.54,30.49,3.54,0.69,2015-01-28
음식료·담배,7776.79,0.93,0.01,17.23,1.33,0.83,2015-01-28
섬유·의류,196.68,6.28,3.09,,0.97,0.11,2015-01-28
코스닥,593.12,1.27,0.21,44.17,1.85,0.64,2015-01-29
코스닥 150,969.21,3.37,0.35,,,,2015-01-29
코스닥 150 정보기술,843.65,9.73,1.14,,,,2015-01-29
코스닥 150 헬스케어,2068.88,8.44,0.41,,,,2015-01-29
코스닥 150 커뮤니케이션서비스,1675.96,6.45,0.38,,,,2015-01-29
코스닥 150 소재,714.24,12.34,1.7,,,,2015-01-29
코스닥 150 산업재,419.97,1.91,0.46,,,,2015-01-29
코스닥 150 필수소비재,1267.86,10.67,0.85,,,,2015-01-29
코스닥 150 자유소비재,1302.13,7.91,0.61,,,,2015-01-29
일반서비스,1968.89,6.32,0.32,35.19,2.14,0.81,2015-01-29
제조,1548.16,2.6,0.17,32.73,1.63,0.63,2015-01-29
건설,88.31,0.84,0.96,,1.02,0.8,2015-01-29
유통,446.41,0.26,0.06,130.88,2.11,0.73,2015-01-29
운송·창고,4518.28,32.85,0.72,9.97,0.57,0.71,2015-01-29
금융,712.38,0.69,0.1,25.2,1.37,0.57,2015-01-29
오락·문화,594.05,1.4,0.24,30.42,3.54,0.7,2015-01-29
음식료·담배,7763.12,13.67,0.18,17.2,1.33,0.84,2015-01-29
섬유·의류,198.13,1.45,0.74,,0.98,0.11,2015-01-29
코스닥,591.58,1.54,0.26,44.29,1.84,0.63,2015-01-30
코스닥 150,965.87,3.34,0.34,,,,2015-01-30
코스닥 150 정보기술,837.13,6.52,0.77,,,,2015-01-30
코스닥 150 헬스케어,2075.15,6.27,0.3,,,,2015-01-30
코스닥 150 커뮤니케이션서비스,1641.88,34.08,2.03,,,,2015-01-30
코스닥 150 소재,717.68,3.44,0.48,,,,2015-01-30
코스닥 150 산업재,417.23,2.74,0.65,,,,2015-01-30
코스닥 150 필수소비재,1269.42,1.56,0.12,,,,2015-01-30
코스닥 150 자유소비재,1301.06,1.07,0.08,,,,2015-01-30
일반서비스,1963.64,5.25,0.27,35.1,2.13,0.81,2015-01-30
제조,1551.0,2.84,0.18,32.88,1.63,0.63,2015-01-30
건설,88.84,0.53,0.6,,1.03,0.8,2015-01-30
유통,448.2,1.79,0.4,131.39,2.12,0.73,2015-01-30
운송·창고,4494.62,23.66,0.52,9.92,0.57,0.71,2015-01-30
금융,713.68,1.3,0.18,25.18,1.37,0.57,2015-01-30
오락·문화,585.35,8.7,1.46,29.97,3.48,0.71,2015-01-30
음식료·담배,7817.42,54.3,0.7,17.32,1.34,0.83,2015-01-30
섬유·의류,204.47,6.34,3.2,,1.02,0.1,2015-01-30
코스닥,590.27,1.31,0.22,44.18,1.84,0.63,2015-02-02
코스닥 150,961.35,4.52,0.47,,,,2015-02-02
코스닥 150 정보기술,829.03,8.1,0.97,,,,2015-02-02
코스닥 150 헬스케어,2066.88,8.27,0.4,,,,2015-02-02
코스닥 150 커뮤니케이션서비스,1618.97,22.91,1.4,,,,2015-02-02
코스닥 150 소재,724.64,6.96,0.97,,,,2015-02-02
코스닥 150 산업재,420.55,3.32,0.8,,,,2015-02-02
코스닥 150 필수소비재,1258.5,10.92,0.86,,,,2015-02-02
코스닥 150 자유소비재,1299.38,1.68,0.13,,,,2015-02-02
일반서비스,1968.51,4.87,0.25,35.19,2.14,0.81,2015-02-02
제조,1556.12,5.12,0.33,32.93,1.63,0.63,2015-02-02
건설,89.33,0.49,0.55,,1.03,0.79,2015-02-02
유통,446.81,1.39,0.31,129.05,2.11,0.73,2015-02-02
운송·창고,4594.97,100.35,2.23,10.14,0.58,0.7,2015-02-02
금융,712.24,1.44,0.2,24.99,1.36,0.57,2015-02-02
