회사명,상장일,동행지수_순환변동치_3개월이동평균,경기국면
삼양옵틱스,2017-06,1.1121704199525624,1
필옵틱스,2017-06,1.1121704199525624,1
하나머티리얼즈,2017-04,0.947460882147297,1
와이엠티,2017-04,0.947460882147297,1
서진시스템,2017-03,0.8670719287732425,1
코미코,2017-03,0.8670719287732425,1
아스타,2017-03,0.8670719287732425,1
에스디생명공학,2017-03,0.8670719287732425,1
신신제약,2017-02,0.6879319031424936,1
에프엔에스테크,2017-02,0.6879319031424936,1
모바일어플라이언스,2017-02,0.6879319031424936,1
피씨엘,2017-02,0.6879319031424936,1
서플러스글로벌,2017-01,0.4766527419313415,1
유바이오로직스,2017-01,0.4766527419313415,1
퓨전데이타,2016-12,0.1998410736995405,1
DSC인베스트먼트,2016-12,0.1998410736995405,1
티에스인베스트먼트,2016-12,0.1998410736995405,1
마이크로프랜드,2016-12,0.1998410736995405,1
애니젠,2016-12,0.1998410736995405,1
신라젠,2016-12,0.1998410736995405,1
오션브릿지,2016-12,0.1998410736995405,1
뉴파워프라즈마,2016-11,0.0574331824640997,1
에이치엔티,2016-11,0.0574331824640997,1
클리오,2016-11,0.0574331824640997,1
오가닉티코스메틱,2016-11,0.0574331824640997,1
로고스바이오,2016-11,0.0574331824640997,1
인크로스,2016-10,0.0826971435917632,1
에이치엘사이언스,2016-10,0.0826971435917632,1
코스메카코리아,2016-10,0.0826971435917632,1
GRT,2016-10,0.0826971435917632,1
골든센츄리,2016-10,0.0826971435917632,1
인텔리안테크,2016-10,0.0826971435917632,1
에이치시티,2016-10,0.0826971435917632,1
앤디포스,2016-10,0.0826971435917632,1
수산아이앤티,2016-10,0.0826971435917632,1
미투온,2016-10,0.0826971435917632,1
유니테크노,2016-09,0.1422339226253465,1
자이글,2016-09,0.1422339226253465,1
헝셩그룹,2016-08,0.069310513679099,1
에코마케팅,2016-08,0.069310513679099,1
팍스넷,2016-08,0.069310513679099,1
엔지스테크널러지,2016-07,-0.136140519950023,0
우리손에프앤지,2016-07,-0.136140519950023,0
장원테크,2016-07,-0.136140519950023,0
대유위니아,2016-07,-0.136140519950023,0
피앤씨테크,2016-07,-0.136140519950023,0
로스웰,2016-06,-0.374187149768403,0
녹십자랩셀,2016-06,-0.374187149768403,0
에스티팜,2016-06,-0.374187149768403,0
레이언스,2016-04,-0.4816653282173604,0
씨엠에스에듀,2016-04,-0.4816653282173604,0
동양파일,2016-04,-0.4816653282173604,0
팬젠,2016-03,-0.351221254390263,0
AP위성통신,2016-03,-0.351221254390263,0
큐리언트,2016-02,-0.1869540358634888,0
안트로젠,2016-02,-0.1869540358634888,0
아이엠텍,2016-02,-0.1869540358634888,0
유니트론텍,2016-02,-0.1869540358634888,0
크리스탈신소재,2016-01,-0.0222509231258385,1
한솔씨앤피,2016-01,-0.0222509231258385,1
에스와이패널,2015-12,0.1428356092138093,1
휴젤,2015-12,0.1428356092138093,1
육일씨엔에쓰,2015-12,0.1428356092138093,1
이에스브이,2015-12,0.1428356092138093,1
한국맥널티,2015-12,0.1428356092138093,1
아진산업,2015-12,0.1428356092138093,1
덱스터,2015-12,0.1428356092138093,1
씨트리,2015-12,0.1428356092138093,1
강스템바이오텍,2015-12,0.1428356092138093,1
메가엠디,2015-12,0.1428356092138093,1
파크시스템스,2015-12,0.1428356092138093,1
보광산업,2015-12,0.1428356092138093,1
뉴트리바이오텍,2015-12,0.1428356092138093,1
멕아이씨에스,2015-12,0.1428356092138093,1
미래테크놀로지,2015-12,0.1428356092138093,1
하이즈항공,2015-11,0.0749199249024741,1
케이디켐,2015-11,0.0749199249024741,1
네오오토,2015-11,0.0749199249024741,1
케어젠,2015-11,0.0749199249024741,1
유앤아이,2015-11,0.0749199249024741,1
나무가,2015-11,0.0749199249024741,1
더블유게임즈,2015-11,0.0749199249024741,1
연우,2015-11,0.0749199249024741,1
에이티젠,2015-10,-0.2260513811060983,0
에치디프로,2015-10,-0.2260513811060983,0
제너셈,2015-09,-0.6934656252773314,0
타이거일렉,2015-09,-0.6934656252773314,0
인포마크,2015-09,-0.6934656252773314,0
웹스,2015-08,-1.0273750465196798,0
파인텍,2015-08,-1.0273750465196798,0
흥국에프엔비,2015-08,-1.0273750465196798,0
아시아경제,2015-07,-1.1611598662599316,0
아이쓰리시스템,2015-07,-1.1611598662599316,0
로지시스,2015-07,-1.1611598662599316,0
파마리서치프로덕트,2015-07,-1.1611598662599316,0
펩트론,2015-07,-1.1611598662599316,0
동운아나텍,2015-06,-1.0281923786482805,0
유테크,2015-06,-1.0281923786482805,0
민앤지,2015-06,-1.0281923786482805,0
에스엔텍,2015-06,-1.0281923786482805,0
코아스템,2015-06,-1.0281923786482805,0
세미콘라이트,2015-06,-1.0281923786482805,0
싸이맥스,2015-06,-1.0281923786482805,0
픽셀플러스,2015-06,-1.0281923786482805,0
제노포커스,2015-05,-0.86183591826808,0
유지인트,2015-04,-0.6287792194528615,0
포시에스,2015-02,-0.662371033234327,0
