회사명,상장일,PC1,cycle_pc1,경기국면
제이엘케이인스펙션,2019-12,0.4578908717605398,0.0842508470357452,1
태웅로직스,2019-12,0.4578908717605398,0.0842508470357452,1
코리아센터,2019-11,0.7342540995068378,0.2616441063279323,1
노터스,2019-11,0.7342540995068378,0.2616441063279323,1
티움바이오,2019-11,0.7342540995068378,0.2616441063279323,1
씨에스베어링,2019-11,0.7342540995068378,0.2616441063279323,1
우양,2019-11,0.7342540995068378,0.2616441063279323,1
에스제이그룹,2019-11,0.7342540995068378,0.2616441063279323,1
제테마,2019-11,0.7342540995068378,0.2616441063279323,1
라파스,2019-11,0.7342540995068378,0.2616441063279323,1
아이티엠반도체,2019-11,0.7342540995068378,0.2616441063279323,1
티라유텍,2019-10,0.8105239891533883,0.2399609702573223,1
캐리소프트,2019-10,0.8105239891533883,0.2399609702573223,1
케이엔제이,2019-10,0.8105239891533883,0.2399609702573223,1
엔바이오니아,2019-10,0.8105239891533883,0.2399609702573223,1
팜스빌,2019-10,0.8105239891533883,0.2399609702573223,1
라온피플,2019-10,0.8105239891533883,0.2399609702573223,1
아톤,2019-10,0.8105239891533883,0.2399609702573223,1
녹십자웰빙,2019-10,0.8105239891533883,0.2399609702573223,1
올리패스,2019-09,0.948456949809974,0.2809259616056229,1
라닉스,2019-09,0.948456949809974,0.2809259616056229,1
한독크린텍,2019-09,0.948456949809974,0.2809259616056229,1
네오크레마,2019-08,1.112396265477125,0.3488486264945931,1
마니커에프앤지,2019-08,1.112396265477125,0.3488486264945931,1
나노브릭,2019-08,1.112396265477125,0.3488486264945931,1
에스피시스템스,2019-08,1.112396265477125,0.3488486264945931,1
레이,2019-08,1.112396265477125,0.3488486264945931,1
코윈테크,2019-08,1.112396265477125,0.3488486264945931,1
덕산테코피아,2019-08,1.112396265477125,0.3488486264945931,1
슈프리마아이디,2019-08,1.112396265477125,0.3488486264945931,1
한국바이오젠,2019-08,1.112396265477125,0.3488486264945931,1
세경하이테크,2019-07,1.1692849917050503,0.3106361149570781,1
윌링스,2019-07,1.1692849917050503,0.3106361149570781,1
대모,2019-07,1.1692849917050503,0.3106361149570781,1
에이스토리,2019-07,1.1692849917050503,0.3106361149570781,1
플리토,2019-07,1.1692849917050503,0.3106361149570781,1
세틀뱅크,2019-07,1.1692849917050503,0.3106361149570781,1
아이스크림에듀,2019-07,1.1692849917050503,0.3106361149570781,1
펌텍코리아,2019-07,1.1692849917050503,0.3106361149570781,1
에이에프더블류,2019-07,1.1692849917050503,0.3106361149570781,1
압타바이오,2019-06,1.1244383715794724,0.1715650728282063,1
까스텔바쟉,2019-06,1.1244383715794724,0.1715650728282063,1
마이크로디지탈,2019-06,1.1244383715794724,0.1715650728282063,1
컴퍼니케이,2019-05,1.0472111376749795,0.0009492385483713,1
아모그린텍,2019-03,1.409785032593625,0.179084118520733,1
이지케어텍,2019-03,1.409785032593625,0.179084118520733,1
에코프로비엠,2019-03,1.409785032593625,0.179084118520733,1
셀리드,2019-02,1.5413133856404984,0.2194761721359963,1
천보,2019-02,1.5413133856404984,0.2194761721359963,1
이노테라피,2019-02,1.5413133856404984,0.2194761721359963,1
노랑풍선,2019-01,1.4040567172552774,-0.0082541182717537,0
웹케시,2019-01,1.4040567172552774,-0.0082541182717537,0
비피도,2018-12,1.5066386930537912,0.0044702780048984,1
유틸렉스,2018-12,1.5066386930537912,0.0044702780048984,1
디케이티,2018-12,1.5066386930537912,0.0044702780048984,1
위지윅스튜디오,2018-12,1.5066386930537912,0.0044702780048984,1
에이비엘바이오,2018-12,1.5066386930537912,0.0044702780048984,1
머큐리,2018-12,1.5066386930537912,0.0044702780048984,1
전진바이오팜,2018-12,1.5066386930537912,0.0044702780048984,1
뉴트리,2018-12,1.5066386930537912,0.0044702780048984,1
이노메트리,2018-12,1.5066386930537912,0.0044702780048984,1
골든브릿지이안5호,2018-12,1.5066386930537912,0.0044702780048984,1
대유에이피,2018-12,1.5066386930537912,0.0044702780048984,1
에코캡,2018-12,1.5066386930537912,0.0044702780048984,1
베스파,2018-12,1.5066386930537912,0.0044702780048984,1
남화산업,2018-11,1.5861280203651775,-0.0053285029241347,0
티로보틱스,2018-11,1.5861280203651775,-0.0053285029241347,0
엠아이텍,2018-11,1.5861280203651775,-0.0053285029241347,0
티앤알바이오팹,2018-11,1.5861280203651775,-0.0053285029241347,0
네오펙트,2018-11,1.5861280203651775,-0.0053285029241347,0
싸이토젠,2018-11,1.5861280203651775,-0.0053285029241347,0
디알젬,2018-11,1.5861280203651775,-0.0053285029241347,0
파멥신,2018-11,1.5861280203651775,-0.0053285029241347,0
디케이앤디,2018-11,1.5861280203651775,-0.0053285029241347,0
디자인,2018-11,1.5861280203651775,-0.0053285029241347,0
노바렉스,2018-11,1.5861280203651775,-0.0053285029241347,0
셀리버리,2018-11,1.5861280203651775,-0.0053285029241347,0
대보마그네틱,2018-11,1.5861280203651775,-0.0053285029241347,0
