회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차
에이치이엠파마,0.139333187,0.02768375,0.01735837,0.048707771
에이치피오,0.12075761700000001,0.03355871,0.037142321,0.0085943
에이텀,0.352497591,0.042453445,0.028322871,0.079800157
에이티젠,0.255413537,0.090133806,0.093398812,0.032928756
에이프로,0.748665942,0.024842464,0.026957058,0.031732507
에이프릴바이오,0.173755855,0.05609423300000001,0.032528803,0.081489061
에이플러스에셋,0.047739292,0.019428664,0.058740130999999994,0.00494803
에이피알,0.138420277,0.042766845,0.086741674,0.023747568
에이피티씨,0.047601523,0.018150675,0.019136797,0.01738485
에치디프로,0.014109855,0.027916626,0.011825735,0.022024032
에코마이스터,0.08453462,0.043040876,0.112991208,0.033609641
에코마케팅,0.182481169,0.028019422,0.032397994,0.052788285000000004
에코아이,0.391576298,0.04688889,0.052307103,0.056903576
에코캡,0.164323407,0.036040228,0.05288598099999999,0.033059144
에코프로머티,0.241394691,0.10757440700000001,0.046264641,0.027932902
에코프로비엠,0.136482574,0.036751707,0.04897629,0.05614715499999999
에프엔에스테크,0.142659777,0.032943968,0.023969877,0.015330916
엑셀세라퓨틱스,0.08100932,0.040181339,0.039817496,0.182620905
엔바이오니아,0.24499473099999997,0.045641954,0.029250846000000004,0.024667144
엔비티,0.42877377799999994,0.066892541,0.051507912,0.053072243
엔시스,0.304366982,0.025134896,0.018682933,0.013209277
엔에스쇼핑,0.070664538,0.027059508,0.033764005,0.026470890000000004
엔에프씨,0.135925502,0.027321109,0.026682728,0.044531899
엔젠바이오,0.368721917,0.076634509,0.094608599,0.04646065
엔젤로보틱스,1.004860758,0.036431813,0.047277659,0.047261803
엔젯,0.141890334,0.032775982,0.044305733,0.045151689
엔지스테크널러지,0.636125675,0.062249763,0.044228871,0.043226323
엔켐,0.395484466,0.080174135,0.05124659,0.06247021700000001
엔피디,0.164839795,0.087320318,0.05120290000000001,0.048895777
엘비루셈,0.04799925,0.01016184,0.00742415,0.021900982
엘앤씨바이오,0.067897364,0.029151021,0.036146411,0.043341112
엘에스전선 아시아,0.104501325,0.022519836,0.02397947,0.008531881
엘이티,0.729677679,0.102594089,0.039640106,0.049860876
엠아이큐브솔루션,0.5116891,0.022407767,0.079256053,0.05000403
엠아이텍,0.062641536,0.047385472,0.020089674,0.045403546
엠앤씨솔루션,0.095926029,0.024436816,,
엠오티,0.100217623,0.028584699,0.053524592,0.055088266
엠코르셋,0.094005495,0.109618735,0.02392599,0.043072009
엠투아이,0.030499295,0.033176151,0.026432556000000003,0.053515185
엠플러스,0.143550141,0.05032595799999999,0.02658067,0.034604812
연우,0.22104951499999997,0.060808938,0.03352936,0.022768136
영림원소프트랩,0.098869839,0.053021241,0.144984258,0.05116544700000001
영창케미칼,0.091417301,0.033444701,0.025071438,0.019854798
영화테크,0.759683702,0.083879872,0.014030966,0.043150052
오가닉티코스메틱,0.197885047,0.027737610000000003,0.115198451,0.063984865
오로스테크놀로지,0.740840961,0.063891212,0.026983754,0.070549614
오브젠,0.691083174,0.104674844,0.045362947,0.092425024
오비고,0.220863736,0.139095518,0.11547818800000001,0.037947424
오상헬스케어,0.164229382,0.017729016,0.024274101,0.026416036999999996
오션브릿지,0.0435519,0.045647749,0.075497384,0.052321152999999995
오에스피,0.116602071,0.011910709,0.027229818,0.030395312
오토앤,0.471122705,0.081936396,0.064059215,0.126375089
오픈놀,0.288428974,0.033173212,0.033642874,0.053203318
오픈엣지테크놀로지,0.166861305,0.163529829,0.046565169,0.072060995
온코닉테라퓨틱스,0.209986528,0.061376869,,
온코크로스,0.129353361,0.04233135200000001,,
올리패스,0.141272404,0.048624757,0.150074425,0.030128341999999995
올릭스,0.388231777,0.035604536,0.015743729,0.073619474
옵티팜,0.091419489,0.05069003800000001,0.043400864,0.048571463
와이더플래닛,0.155411879,0.096191538,0.065313804,0.040784102
와이랩,0.10723610400000001,0.08474143,0.168150537,0.134965655
와이바이오로직스,0.20797352499999996,0.050012718,0.122517407,0.041078888
와이엠텍,0.531253012,0.039030027,0.038029423,0.063474838
와이엠티,0.20960857100000002,0.025731050999999998,0.018778765,0.05735971599999999
와이제이링크,0.408947346,0.090642275,0.16456372,0.086085725
와이팜,0.344879801,0.11522377399999999,0.053570356,0.020821503
용평리조트,0.322376524,0.035944582,0.034058773,0.040783489
우리손에프앤지,0.156713631,0.030771692,0.017601619,0.023648573
우양,0.069265417,0.034386233,0.032686572,0.02378283
우진아이엔에스,0.174818314,0.047556409,0.10626910199999999,0.028190158
우진엔텍,1.357011716,0.183748352,0.15873882,0.071476828
워트,0.15823887,0.062858229,0.065365587,0.041716028
원방테크,0.085088936,0.040772515,0.023243343,0.028637475000000003
