函券,盔磊丰,老喊 荐劳伏,扁埃备埃,荐劳伏_钎霖祈瞒
2018-09-19,2308.46,-0.0002252076674549297,11~15老,0.005512245030491773
2018-09-20,2323.45,0.006493506493506329,11~15老,0.005512245030491773
2018-09-21,2339.17,0.006765800856485038,11~15老,0.005512245030491773
2018-09-27,2355.43,0.006951183539460448,16~20老,0.008625736150678041
2018-09-28,2343.07,-0.005247449510280333,16~20老,0.008625736150678041
2018-10-01,2338.88,-0.0017882521648947547,1~5老,0.005887029980633491
2018-10-02,2309.57,-0.0125316390751129,1~5老,0.005887029980633491
2018-10-04,2274.49,-0.015188974571024194,1~5老,0.005887029980633491
2018-10-05,2267.52,-0.003064423233340108,1~5老,0.005887029980633491
2018-10-08,2253.83,-0.006037432966412681,1~5老,0.005887029980633491
2018-10-10,2228.61,-0.011189841292377767,6~10老,0.021905830401312925
2018-10-11,2129.67,-0.044395385464482406,6~10老,0.021905830401312925
2018-10-12,2161.85,0.015110322256499664,6~10老,0.021905830401312925
2018-10-15,2145.12,-0.007738742280916866,6~10老,0.021905830401312925
2018-10-16,2145.12,0.0,6~10老,0.021905830401312925
2018-10-17,2167.51,0.01043764451405993,11~15老,0.014186811844587543
2018-10-18,2148.31,-0.008858090620112558,11~15老,0.014186811844587543
2018-10-19,2156.26,0.0037005832491587842,11~15老,0.014186811844587543
2018-10-22,2161.71,0.0025275245100311317,11~15老,0.014186811844587543
2018-10-23,2106.1,-0.025725004741616653,11~15老,0.014186811844587543
2018-10-24,2097.58,-0.004045391956697175,16~20老,0.011481946196474841
2018-10-25,2063.3,-0.016342642473707647,16~20老,0.011481946196474841
2018-10-26,2027.15,-0.017520476905927396,16~20老,0.011481946196474841
2018-10-29,1996.05,-0.015341735934686684,16~20老,0.011481946196474841
2018-10-30,2014.69,0.009338443425765952,16~20老,0.011481946196474841
2018-11-01,2024.46,-0.0025767481733663944,1~5老,0.01790637376366878
2018-11-02,2096.0,0.035337818479989735,1~5老,0.01790637376366878
2018-11-05,2076.92,-0.009103053435114417,1~5老,0.01790637376366878
2018-11-06,2089.62,0.006114823873813124,1~5老,0.01790637376366878
2018-11-07,2078.69,-0.005230616092878004,1~5老,0.01790637376366878
2018-11-08,2092.63,0.006706146659675172,6~10老,0.004439848378647361
2018-11-09,2086.09,-0.0031252538671432406,6~10老,0.004439848378647361
2018-11-12,2080.44,-0.002708416223652921,6~10老,0.004439848378647361
2018-11-13,2071.23,-0.0044269481455846416,6~10老,0.004439848378647361
2018-11-14,2068.05,-0.0015353195927056973,6~10老,0.004439848378647361
2018-11-15,2088.06,0.009675781533328376,11~15老,0.006915090153197593
2018-11-16,2092.4,0.0020784843347414483,11~15老,0.006915090153197593
2018-11-19,2100.56,0.0038998279487669762,11~15老,0.006915090153197593
2018-11-20,2082.58,-0.008559622195985828,11~15老,0.006915090153197593
2018-11-21,2076.55,-0.0028954469936327554,11~15老,0.006915090153197593
2018-11-22,2069.95,-0.0031783487033784086,16~20老,0.007638257008512487
2018-11-23,2057.48,-0.0060243001038671196,16~20老,0.007638257008512487
2018-11-26,2083.02,0.01241324338511185,16~20老,0.007638257008512487
2018-11-27,2099.42,0.00787318412689264,16~20老,0.007638257008512487
2018-11-28,2108.22,0.004191633879833345,16~20老,0.007638257008512487
2018-12-03,2131.93,0.016725007868908515,1~5老,0.012442240361915678
2018-12-04,2114.35,-0.008246049354340923,1~5老,0.012442240361915678
2018-12-05,2101.31,-0.0061673800458769135,1~5老,0.012442240361915678
2018-12-06,2068.69,-0.01552364953291041,1~5老,0.012442240361915678
2018-12-07,2075.76,0.0034176217799670727,1~5老,0.012442240361915678
2018-12-10,2053.79,-0.010584075230277268,6~10老,0.01132782968448275
2018-12-11,2052.97,-0.00039926185247773915,6~10老,0.01132782968448275
2018-12-12,2082.57,0.014418135676605326,6~10老,0.01132782968448275
2018-12-13,2095.55,0.006232683655291282,6~10老,0.01132782968448275
2018-12-14,2069.38,-0.012488368208823486,6~10老,0.01132782968448275
2018-12-17,2071.09,0.0008263344576635578,11~15老,0.006403995253439699
2018-12-18,2062.11,-0.004335881106084294,11~15老,0.006403995253439699
2018-12-19,2078.84,0.00811304925537426,11~15老,0.006403995253439699
2018-12-20,2060.12,-0.009005022031517651,11~15老,0.006403995253439699
2018-12-21,2061.49,0.0006650098052540798,11~15老,0.006403995253439699
2018-12-24,2055.01,-0.0031433574744478276,16~20老,0.008100153794234125
2018-12-26,2028.01,-0.01313862219648576,16~20老,0.008100153794234125
2018-12-27,2028.44,0.00021203051267004724,16~20老,0.008100153794234125
2018-12-28,2041.04,0.006211670051862406,16~20老,0.008100153794234125
2019-01-02,2010.0,-0.015207933210520164,1~5老,0.01190508527941715
2019-01-03,1993.7,-0.008109452736318357,1~5老,0.01190508527941715
2019-01-04,2010.25,0.008301148618147236,1~5老,0.01190508527941715
2019-01-07,2037.1,0.01335654769307304,1~5老,0.01190508527941715
2019-01-08,2025.27,-0.005807275047862159,1~5老,0.01190508527941715
2019-01-09,2064.71,0.019473946683651988,6~10老,0.010553631674451114
2019-01-10,2063.28,-0.0006925912113564525,6~10老,0.010553631674451114
2019-01-11,2075.57,0.005956535225466242,6~10老,0.010553631674451114
2019-01-14,2064.52,-0.005323838752728238,6~10老,0.010553631674451114
2019-01-15,2097.18,0.015819657838141543,6~10老,0.010553631674451114
2019-01-16,2106.1,0.004253330663080979,11~15老,0.004364643028938323
2019-01-17,2107.06,0.0004558188120222795,11~15老,0.004364643028938323
2019-01-18,2124.28,0.008172524750125865,11~15老,0.004364643028938323
2019-01-21,2124.61,0.00015534675278217058,11~15老,0.004364643028938323
2019-01-22,2117.77,-0.003219414386640418,11~15老,0.004364643028938323
2019-01-23,2127.78,0.004726670034989722,16~20老,0.005920096558377318
2019-01-24,2145.03,0.008107041141471427,16~20老,0.005920096558377318
2019-01-25,2177.73,0.015244542034376973,16~20老,0.005920096558377318
2019-01-28,2177.3,-0.00019745331147558165,16~20老,0.005920096558377318
